timestamp,BTC-PERP,ETH-PERP,SOL-PERP
1654041600,20781.0,1212.6,37.76
1654045200,20781.0,1212.6,37.76
1654048800,20781.0,1212.6,37.76
1654052400,20781.0,1212.6,37.76
1654056000,20781.0,1212.6,37.76
1654059600,20781.0,1212.6,37.76
1654063200,20781.0,1212.6,37.76
1654066800,20781.0,1212.6,37.76
1654070400,20781.0,1212.6,37.76
1654074000,20781.0,1212.6,37.76
1654077600,20781.0,1212.6,37.76
1654081200,20781.0,1212.6,37.76
1654084800,20781.0,1212.6,37.76
1654088400,20781.0,1212.6,37.76
1654092000,20781.0,1212.6,37.76
1654095600,20781.0,1212.6,37.76
1654099200,20781.0,1212.6,37.76
1654102800,20781.0,1212.6,37.76
1654106400,20781.0,1212.6,37.76
1654110000,20780.0,1212.6,37.76
1654113600,20780.0,1212.6,37.76
1654117200,20780.0,1212.6,37.76
1654120800,20780.0,1212.6,37.76
1654124400,20780.0,1212.6,37.76
1654128000,20780.0,1212.6,37.76
1654131600,20780.0,1212.6,37.76
1654135200,20780.0,1212.6,37.76
1654138800,20780.0,1212.6,37.755
1654142400,20780.0,1212.6,37.755
1654146000,20780.0,1212.6,37.7525
1654149600,20781.0,1212.6,37.7525
1654153200,20781.0,1212.6,37.7525
1654156800,20781.0,1212.6,37.75
1654160400,20781.0,1212.5,37.75
1654164000,20781.0,1212.5,37.75
1654167600,20781.0,1212.5,37.7425
1654171200,20781.0,1212.5,37.7425
1654174800,20781.0,1212.5,37.7425
1654178400,20781.0,1212.5,37.7425
1654182000,20781.0,1212.5,37.745
1654185600,20781.0,1212.5,37.745
1654189200,20781.0,1212.5,37.745
1654192800,20781.0,1212.5,37.745
1654196400,20780.0,1212.5,37.745
1654200000,20780.0,1212.5,37.745
1654203600,20780.0,1212.5,37.745
1654207200,20781.0,1212.5,37.745
1654210800,20781.0,1212.5,37.745
1654214400,20781.0,1212.5,37.745
1654218000,20781.0,1212.5,37.745
1654221600,20781.0,1212.5,37.745
1654225200,20781.0,1212.5,37.745
1654228800,20781.0,1212.5,37.745
1654232400,20781.0,1212.5,37.745
1654236000,20781.0,1212.5,37.745
1654239600,20781.0,1212.5,37.745
1654243200,20781.0,1212.5,37.745
1654246800,20781.0,1212.3,37.745
1654250400,20781.0,1212.3,37.745
1654254000,20781.0,1212.3,37.745
1654257600,20781.0,1212.2,37.745
1654261200,20781.0,1212.2,37.745
1654264800,20781.0,1212.3,37.745
1654268400,20781.0,1212.3,37.745
1654272000,20780.0,1212.3,37.745
1654275600,20780.0,1212.3,37.745
1654279200,20780.0,1212.3,37.745
1654282800,20780.0,1212.3,37.745
1654286400,20780.0,1212.7,37.745
1654290000,20780.0,1212.7,37.7425
1654293600,20780.0,1212.7,37.7425
1654297200,20780.0,1212.8,37.7425
1654300800,20780.0,1212.8,37.7425
1654304400,20780.0,1213.1,37.7425
1654308000,20780.0,1213.1,37.7425
1654311600,20780.0,1213.1,37.7425
1654315200,20780.0,1213.1,37.7425
1654318800,20780.0,1213.1,37.7425
1654322400,20780.0,1213.1,37.7425
1654326000,20780.0,1213.1,37.7425
1654329600,20780.0,1213.1,37.7425
1654333200,20780.0,1213.1,37.7425
1654336800,20780.0,1213.1,37.7425
1654340400,20780.0,1213.1,37.7425
1654344000,20780.0,1213.1,37.7425
1654347600,20780.0,1213.1,37.7425
1654351200,20780.0,1213.1,37.7425
1654354800,20780.0,1213.0,37.7425
1654358400,20780.0,1213.0,37.7425
1654362000,20781.0,1213.0,37.7425
1654365600,20781.0,1213.0,37.7425
1654369200,20781.0,1213.0,37.7425
1654372800,20781.0,1213.0,37.7425
1654376400,20781.0,1213.0,37.7425
1654380000,20781.0,1213.0,37.7425
1654383600,20781.0,1213.0,37.7425
1654387200,20782.0,1213.0,37.7425
1654390800,20782.0,1213.0,37.7425
1654394400,20782.0,1213.0,37.7425
1654398000,20782.0,1213.0,37.7425
1654401600,20781.0,1213.0,37.7425
1654405200,20781.0,1213.0,37.7425
1654408800,20781.0,1213.0,37.7425
1654412400,20781.0,1213.0,37.7425
1654416000,20781.0,1213.0,37.7425
1654419600,20781.0,1213.0,37.7425
1654423200,20781.0,1213.0,37.7425
1654426800,20781.0,1213.0,37.7425
1654430400,20781.0,1213.0,37.7425
1654434000,20781.0,1213.0,37.7425
1654437600,20781.0,1213.0,37.7425
1654441200,20782.0,1213.0,37.7425
1654444800,20782.0,1213.0,37.7425
1654448400,20782.0,1213.0,37.7475
1654452000,20781.0,1213.0,37.7475
1654455600,20781.0,1213.0,37.7475
1654459200,20781.0,1213.0,37.7475
1654462800,20781.0,1213.0,37.7475
1654466400,20781.0,1213.0,37.7475
1654470000,20781.0,1213.0,37.7475
1654473600,20781.0,1213.0,37.7475
1654477200,20781.0,1213.0,37.7475
1654480800,20781.0,1213.1,37.7475
1654484400,20781.0,1213.1,37.7475
1654488000,20781.0,1213.1,37.7475
1654491600,20782.0,1213.1,37.7475
1654495200,20782.0,1213.1,37.7475
1654498800,20782.0,1213.1,37.7475
1654502400,20782.0,1213.1,37.7475
1654506000,20782.0,1213.1,37.7475
1654509600,20781.0,1213.1,37.7475
1654513200,20781.0,1213.1,37.7475
1654516800,20782.0,1213.1,37.7475
1654520400,20782.0,1213.1,37.7475
1654524000,20782.0,1213.1,37.7475
1654527600,20782.0,1213.1,37.7475
1654531200,20782.0,1213.1,37.7475
1654534800,20782.0,1213.1,37.75
1654538400,20782.0,1213.1,37.75
1654542000,20782.0,1213.1,37.75
1654545600,20781.0,1213.1,37.75
